2017,4,"AA","American Airlines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",366.00,71.00,22.91,1.45,23.96,0.00,22.69,4.00,0.00,4142.00,1677.00,61.00,787.00,0.00,1617.00,
2017,4,"AA","American Airlines Inc.","TPA","Tampa, FL: Tampa International",984.00,178.00,53.54,6.11,64.17,0.25,53.93,8.00,2.00,10018.00,3084.00,420.00,2648.00,4.00,3862.00,
2017,4,"AS","Alaska Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",60.00,11.00,4.20,0.00,6.80,0.00,0.00,0.00,0.00,448.00,238.00,0.00,210.00,0.00,0.00,
2017,4,"AS","Alaska Airlines Inc.","BOS","Boston, MA: Logan International",141.00,18.00,3.72,0.59,10.36,0.00,3.33,1.00,1.00,811.00,311.00,13.00,368.00,0.00,119.00,
2017,4,"AS","Alaska Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",85.00,14.00,5.11,0.00,3.90,0.33,4.65,0.00,0.00,536.00,307.00,0.00,98.00,10.00,121.00,
2017,4,"AS","Alaska Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",120.00,23.00,4.71,0.00,14.33,0.00,3.97,0.00,0.00,881.00,269.00,0.00,500.00,0.00,112.00,
2017,4,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",141.00,25.00,11.93,0.95,7.93,0.00,4.19,0.00,0.00,918.00,452.00,81.00,215.00,0.00,170.00,
2017,4,"AS","Alaska Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",120.00,14.00,4.05,0.38,7.96,0.00,1.61,0.00,0.00,974.00,364.00,9.00,520.00,0.00,81.00,
2017,4,"AS","Alaska Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",30.00,11.00,2.43,0.00,7.86,0.00,0.71,0.00,0.00,345.00,132.00,0.00,186.00,0.00,27.00,
2017,4,"AS","Alaska Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",150.00,49.00,6.03,0.00,39.87,0.00,3.10,1.00,0.00,2778.00,379.00,0.00,2222.00,0.00,177.00,
